partnerid,country,stream,latitude,longitude,chnl_width_up,chnl_width_down,water_depth_up,water_depth_down,deploy_time,biome,biome_short
JC,NZ,2,-41.2964833,173.3690611,9.6,4.5,22,37,28,Temperate Broadleaf & Mixed Forests,temp_broad
JC,NZ,3,-41.2981,173.3348444,2.1,3,21,23,24,Temperate Broadleaf & Mixed Forests,temp_broad
JC,NZ,4,-41.3140028,173.2912667,4.7,7,3,20,31,Temperate Broadleaf & Mixed Forests,temp_broad
JESM,AQ,1,-65.24812,-64.24269,0.6,0.3,9,10,41,Tundra,tund
JESM,AQ,2,-65.24844,-64.24572,0.5,0.35,10,4,57,Tundra,tund
JESM,AQ,3,-65.24639,-64.24671,0.2,0.2,10,8,57,Tundra,tund
JESM,AQ,4,-65.24495,-64.256333,1.5,1.9,50,50,50,Tundra,tund
JESM,AQ,5,-65.24492,-64.25494,0.1,0.2,2,4,57,Tundra,tund
JESM,AQ,11,-63.8025,-57.8767,,,,,22,Tundra,tund
JESM,AQ,12,-63.8123,-57.9203,,,,,22,Tundra,tund
JESM,AQ,13,-63.8067,-57.885,,,,,23,Tundra,tund
JESM,AQ,14,-63.8163,-57.8869,,,,,23,Tundra,tund
JFGJ,BR,1,-15.68834,-48.024152,1,1,0.28,0.2,41,"Tropical & Subtropical Grasslands, Savannas & Shrublands",trop_grass
JFGJ,BR,2,-15.688837,-48.023985,3.5,1.57,0.15,0.38,41,"Tropical & Subtropical Grasslands, Savannas & Shrublands",trop_grass
JFGJ,BR,3,-15.733293,-48.014997,1.8,1.3,0.19,0.17,41,"Tropical & Subtropical Grasslands, Savannas & Shrublands",trop_grass
JFGJ,BR,4,-15.725521,-47.940142,1.1,1.1,1.88,0.51,41,"Tropical & Subtropical Grasslands, Savannas & Shrublands",trop_grass
JH,GB,1,51.423876,-1.71718,13,12.5,75,17,29,Temperate Broadleaf & Mixed Forests,temp_broad
JH,GB,2,51.414487,-0.646557,2.65,4.55,13,0.65,29,Temperate Broadleaf & Mixed Forests,temp_broad
JH,GB,3,51.237386,0.968261,11,9.5,68,44,30,Temperate Broadleaf & Mixed Forests,temp_broad
JH,GB,4,51.081777,0.056149,1.8,2.1,20,19,30,Temperate Broadleaf & Mixed Forests,temp_broad
JN,CL,1,-39.9528194,-73.1922417,3.9,4.2,25,18,40,Temperate Broadleaf & Mixed Forests,temp_broad
JN,CL,2,-39.9600611,-73.3212333,2.3,2.7,45,40,40,Temperate Broadleaf & Mixed Forests,temp_broad
JN,CL,3,-39.95395,-73.3303417,3.2,3.4,20,18,40,Temperate Broadleaf & Mixed Forests,temp_broad
JN,CL,4,-39.9234722,-73.4135306,10,10.5,32,29,40,Temperate Broadleaf & Mixed Forests,temp_broad
