,str.part,biome_short,Stream.index,k
364,JUNE 1,temp_conif,286,0.007143196
208,JUNE 2,temp_broad,287,0.037870901
209,JUNE 3,temp_broad,288,0.03286123
365,JUNE 4,temp_conif,289,0.011038349
210,JW 1,temp_broad,290,0.090154614
211,JW 2,temp_broad,291,0.047456827
212,JW 3,temp_broad,292,0.041574274
213,JW 4,temp_broad,293,0.017256176
214,JZ 1,temp_broad,294,0.003521709
215,JZ 2,temp_broad,295,0.01033024
216,JZ 3,temp_broad,296,0.032913992
217,JZ 4,temp_broad,297,0.024933811
464,KC 1,trop_wet,298,0.105658555
465,KC 2,trop_wet,299,0.202834847
466,KC 3,trop_wet,300,0.118262001
366,KF 1,temp_conif,301,0.003166241
367,KF 2,temp_conif,302,0.002542534
368,KF 3,temp_conif,303,0.003203593
369,KF 4,temp_conif,304,0.003807618
370,KK 1,temp_conif,305,0.00450295
371,KK 2,temp_conif,306,0.002113498
372,KK 3,temp_conif,307,0.008329413
373,KK 4,temp_conif,308,0.006027305
60,KM 1,taiga,309,0.003083362
61,KM 2,taiga,310,0.002986445
62,KM 3,taiga,311,0.002769927
63,KM 4,taiga,312,0.002096035
467,KRS 1,trop_wet,313,0.050422629
468,KRS 2,trop_wet,314,0.113930524
469,KRS 3,trop_wet,315,0.200615163
470,KRS 4,trop_wet,316,0.105167447
218,LB 2,temp_broad,317,0.07441703
219,LB 3,temp_broad,318,0.003848275
220,LB 4,temp_broad,319,0.054834439
221,LEB 1,temp_broad,320,0.005946018
222,LEB 2,temp_broad,321,0.013197238
223,LEB 3,temp_broad,322,0.003633347
224,LEB 4,temp_broad,323,0.002820207
225,LEVO 1,temp_broad,324,0.012587224
226,LEVO 2,temp_broad,325,0.002227392
227,LEVO 3,temp_broad,326,0.011549798
228,LEVO 4,temp_broad,327,0.002743201
229,LGL 1,temp_broad,328,0.031929202
230,LGL 2,temp_broad,329,0.005726435
231,LGL 3,temp_broad,330,0.009493616
232,LGL 4,temp_broad,331,0.005592757
471,LH 1,trop_wet,332,0.013354945
472,LH 2,trop_wet,333,0.054598335
473,LH 3,trop_wet,334,0.111759204
474,LH 4,trop_wet,335,0.025527729
416,LR 1,trop_grass,336,0.036221746
417,LR 2,trop_grass,337,0.071250903
418,LR 3,trop_grass,338,0.089211311
419,LR 4,trop_grass,339,0.034392998
233,LUZB 1,temp_broad,340,0.014646684
234,LUZB 2,temp_broad,341,0.006497835
235,LUZB 3,temp_broad,342,0.008391562
236,LUZB 4,temp_broad,343,0.00450852
33,MANG 1,mediter,344,0.003041326
34,MANG 2,mediter,345,0.002518234
35,MANG 3,mediter,346,0.004413887
36,MANG 4,mediter,347,0.00285053
475,MB 1,trop_wet,348,0.008531174
476,MB 2,trop_wet,349,0.008997236
477,MB 3,trop_wet,350,0.015095018
420,MB 4,trop_grass,351,0.024453571
421,MC 1,trop_grass,352,0.055695008
422,MC 2,trop_grass,353,0.041307084
423,MC 3,trop_grass,354,0.023414656
424,MC 4,trop_grass,355,0.039349047
425,MD 1,trop_grass,356,0.005922451
426,MD 2,trop_grass,357,0.022857907
427,MD 3,trop_grass,358,0.059074109
428,MD 4,trop_grass,359,0.004292567
237,MG 3,temp_broad,360,0.101955408
